DATE,DCOILBRENTEU
1988-01-01,14.9054117647058824
1989-01-01,18.2282283464566929
1990-01-01,23.7614453125000000
1991-01-01,20.0411284046692607
1992-01-01,19.3197276264591440
1993-01-01,17.0134126984126984
1994-01-01,15.8563888888888889
1995-01-01,17.0158498023715415
1996-01-01,20.6398031496062992
1997-01-01,19.1085080645161290
1998-01-01,12.7581027667984190
1999-01-01,17.9015662650602410
2000-01-01,28.6606719367588933
2001-01-01,24.4557198443579767
2002-01-01,24.9932549019607843
2003-01-01,28.8508139534883721
2004-01-01,38.2596934865900383
2005-01-01,54.5745525291828794
2006-01-01,65.1617647058823529
2007-01-01,72.4411600000000000
2008-01-01,96.9443478260869565
2009-01-01,61.7387698412698413
2010-01-01,79.6094444444444444
2011-01-01,111.2642741935483871
2012-01-01,111.5706827309236948
2013-01-01,108.5550000000000000
2014-01-01,98.9696062992125984
2015-01-01,52.3165490196078431
2016-01-01,43.6380000000000000
2017-01-01,54.1248046875000000
2018-01-01,71.3350000000000000
2019-01-01,64.3006225680933852
