Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
01.12.2019;38.10;36.40;36.10;36.02;34.70;35.17;36.07;38.00;42.00;44.78;46.00;48.77;47.74;43.01;42.50;44.80;48.00;52.95;53.70;53.00;50.10;41.56;43.78;38.78
30.11.2019;37.56;36.09;36.00;34.45;34.15;36.07;37.99;39.88;44.38;45.82;44.76;44.26;43.73;43.13;43.30;48.20;51.00;53.45;54.93;53.02;46.01;41.51;41.30;38.00
29.11.2019;25.84;22.77;18.72;19.22;24.01;30.30;38.92;47.06;50.12;49.00;49.00;48.36;47.59;48.07;47.73;49.68;52.00;54.52;52.40;51.97;49.51;44.25;41.09;37.99
28.11.2019;27.99;25.38;24.20;21.40;22.99;27.80;37.17;44.25;50.20;50.72;49.00;46.63;46.25;46.00;45.00;46.98;49.60;49.00;48.98;49.58;42.64;37.60;34.80;30.00
27.11.2019;33.99;32.40;32.93;30.97;32.00;33.14;38.53;42.82;48.99;49.00;49.00;48.00;47.16;45.45;45.00;45.71;48.09;50.01;49.96;47.27;42.01;36.10;34.01;31.01
26.11.2019;39.71;37.06;36.80;36.10;35.60;37.25;45.24;52.57;54.74;53.09;52.94;52.54;52.53;52.37;51.79;53.18;53.90;56.17;54.12;52.38;46.99;43.02;40.85;37.13
25.11.2019;35.02;33.40;34.81;32.97;33.49;35.05;42.74;51.27;53.96;53.91;53.95;53.91;52.68;53.99;52.27;52.50;53.95;57.50;54.50;51.49;46.01;39.72;38.97;35.93
24.11.2019;27.63;27.36;26.30;25.09;25.46;24.50;26.73;30.30;35.02;35.38;35.90;36.10;36.10;36.10;36.99;39.00;43.99;47.99;49.50;49.95;44.56;39.68;39.07;36.10
23.11.2019;31.37;29.95;27.66;27.00;26.26;25.60;29.70;32.00;34.00;34.03;34.05;34.00;33.00;32.01;32.00;34.78;36.51;39.66;38.47;37.49;34.70;30.86;30.70;27.00
22.11.2019;35.49;36.00;34.99;34.02;36.00;36.86;40.97;51.70;53.00;51.90;51.93;50.90;48.90;49.42;47.49;49.90;51.90;53.91;49.41;46.08;40.20;37.40;35.50;32.38
21.11.2019;38.24;37.10;37.00;37.00;37.70;39.13;47.67;55.50;62.79;60.46;59.19;59.74;59.00;57.75;55.84;58.91;59.00;63.53;57.81;54.48;48.19;43.27;40.00;38.39
